# Marker-text audit: every numbered "Deciphering the Icon" marker read against the picture
# under its own circle, at full size, with crops where the detail is small.
#
# WHY THIS FILE EXISTS. The reading audit (icon_reading_audit.tsv) finished 2026-09-21 and
# examined MARKER TEXT on only the 48 icons it touched that day; roughly one marker in three
# on those was wrong. The other 65 icons — the rows marked checked-2026-08-21b and
# checked-2026-08-22 there — had their PROSE read against the picture and their MARKER TEXTS
# never examined by anyone. This file is that sweep. 65 icons, 347 markers.
#
# A ROW HERE MEANS NOTHING UNLESS hotspots.js / hotspots3.js SAYS WHAT THE NOTE SAYS. The
# reading audit's 28 fixed-2026-08-22 rows recorded corrections that were never applied to
# the source, and the reader shipped the wrong text for a month. Every `fixed` row below was
# written AFTER the edit landed and AFTER grepping the old wording out of the source.
#
# One row per MARKER, not per icon — per-icon rows are how 47 bad marker texts hid behind 65
# "checked" ones the first time.
#
# key	n	marker label	verdict	note   (verdict: holds | fixed-DATE)
51116569bee9	2	The prayer painted three times	fixed-2026-09-21	four figures of Christ on this wall, not three prayers: two bowed, one upright at the top centre, one turned back to the sleepers — which is what the icon's own prose reading already said
51116569bee9	3	Christ returning to the disciples	holds	haloed, head inclined, right hand out and down toward the sleepers
51116569bee9	4	The disciples asleep	fixed-2026-09-21	not 'the three' — about a dozen figures fill the whole foot of the wall, the eight told to sit here as well as the three taken farther on
51116569bee9	5	The rock of the garden	fixed-2026-09-21	the rock is ochre and pale olive where the light falls; only the crags along the top are near-black. 'grey and black' described no part of it
a1561fe508e3	1	The inscription	fixed-2026-09-21	the titulus is longer than the marker gave: Η ΠΡΟΣΕΥΧΗ ΤΟΥ ΧΥ, the Prayer of Christ. ΙΣ ΧΣ beside each figure confirmed
a1561fe508e3	2	Christ kneeling in prayer	holds	far left, kneeling on the rock, both hands stretched out to the right
a1561fe508e3	3	The three prayers	holds	three kneeling figures of Christ across the left two-thirds of the wall, a fourth standing at the right
a1561fe508e3	4	Christ returning	holds	standing over the sleepers in dark red, right hand out and down
a1561fe508e3	5	Peter waking	fixed-2026-09-21	both hands are open toward the Lord, not one, and he is the grey-haired one
a1561fe508e3	6	The sleepers	holds	about eleven heads heaped at the foot of the rock, wrapped and inert
a1561fe508e3	-	(prose, hotspots2.js)	fixed-2026-09-21	the fresco paints Luke's angel — a small winged haloed figure high in the dark sky — and no marker or reading had ever named it. Added to the prose; a marker there would clamp to 9% and land on Christ's halo
dc6723fe4d6e	1	The inscription	holds	…LATE 7 OR… / …TIS IN TEM… legible at full crop, with a Tironian 7 for ET; the left half of the band is too worn to read in this photograph
dc6723fe4d6e	2	The angel out of the gold	fixed-2026-09-21	it does not come head-first: it flies in level from the left with its hand stretched out to meet Christ's, and carries no cup
dc6723fe4d6e	3	Christ at prayer	holds	kneeling on the hill, both hands lifted toward the angel
dc6723fe4d6e	4	Christ returning to the sleepers	fixed-2026-09-21	he stands upright, not bending, and holds a closed scroll in his left hand — the scroll was in no text
dc6723fe4d6e	5	The disciples asleep	holds	heaped across the middle and the whole lower left of the panel
417a35d2ac73	1	The inscription	holds	ΗΠΡΟΔΟCΙΑ read across the top
417a35d2ac73	2	Judas's kiss	holds	green tunic, one arm across the body and the other hand on the far shoulder, face to face, no halo
417a35d2ac73	3	Christ unmoved	holds	cruciform halo confirmed at full crop, still, one hand down
417a35d2ac73	4	Peter with the sword	fixed-2026-09-21	MISPLACED as well as wrong: the sword at the left belongs to the arresting party, not to a disciple. Peter and Malchus are at the LOWER RIGHT — marker moved from 48%/27% to 76%/85% and the text rewritten to what is painted there
417a35d2ac73	5	The staves and torches	fixed-2026-09-21	there is also an axe and a white gabled lantern with the flame inside it, held up on a staff, against a black sky pricked with stars
417a35d2ac73	6	The soldier seizing him	fixed-2026-09-21	the man laying hands on him wears no armour — a beardless youth in a plain red tunic with a dagger at his belt; the armoured soldier stands behind him
acdfedfb6036	1	TRADITIO	holds	·RADITIO· at the left of the band and DOMI[NI] at the right, both read at full crop
acdfedfb6036	2	Christ	fixed-2026-09-21	his face is set straight forward, NOT turned to the man kissing him; cruciform halo confirmed
acdfedfb6036	3	Judas's embrace	fixed-2026-09-21	one arm round him, not both — the other hand reaching across the Lord belongs to someone else in the press
acdfedfb6036	4	Peter and the servant	holds	bottom left, Peter grips the servant's head and holds the blade at his ear, the servant down on the ground
acdfedfb6036	5	The lantern and the spears	fixed-2026-09-21	a lantern AND a hanging lamp on poles, and two long axes and a knobbed club among the spears
acdfedfb6036	6	The soldier at the right	fixed-2026-09-21	he wears no cuirass and no armour — a pointed cap and a mantle over a white tunic. The 'one Roman in armour, and the state behind the council' was not in the picture; label changed to 'The man at the right edge'
30b296dd3bad	1	Christ	fixed-2026-09-21	the halo is deep orange-red and the cross in it is faint, not the clean cruciform the text implied; and his hands are not visible at all, so 'one hand at his side' was invented
30b296dd3bad	2	Judas	holds	leans in from the left, face against the Lord's cheek, arm across him
30b296dd3bad	3	The forest of weapons	holds	spears, two axe-heads and a curved blade raised in a line across the top
30b296dd3bad	4	The lantern	fixed-2026-09-21	right, and better than it said: the monogram ΙΣ ΧΣ is lettered either side of the lantern's pole over the Lord's head
30b296dd3bad	5	Peter's sword	fixed-2026-09-21	nobody is struck in this fresco — no servant on the ground, no ear. A man in red holds a sword raised over his head, and nothing identifies him as a disciple. Label changed to 'The raised sword at the left'
30b296dd3bad	6	The soldiers in helmets	fixed-2026-09-21	there are no helmets and no armour anywhere in the panel; every head is bare. Label changed to 'The bare heads of the crowd'
8e2957ac4beb	1	The inscription	holds	Ο Χ͞C ΚΡΙΝΟΜΕΝΟC ΥΠΟ ΑΝΝΑ ΚΑΙ ΚΑΙΑΦΑ read at full crop; the marker expands the nomen sacrum, which is fair
8e2957ac4beb	2	Caiaphas rending his garments	holds	and better than the text said — both hands have the tunic pulled apart at the breast and the pale undergarment shows through
8e2957ac4beb	3	Annas	fixed-2026-09-21	right, and his raised open hand toward the prisoner was left unsaid
8e2957ac4beb	4	Christ standing	holds	haloed, standing before the seated judges
8e2957ac4beb	5	The book on the lectern	fixed-2026-09-21	no book and no lectern: a white sheet of imitation script and a black inkwell on a low yellow table
8e2957ac4beb	6	The soldier	fixed-2026-09-21	no cuirass and no spear in his hands — a green belted tunic, laced red leggings, arms folded, a shaft leaning behind him
ffae81c9ac4b	1	Caiaphas enthroned	fixed-2026-09-21	his hand is not lifted toward the accused: the front of his robe is painted as a mass of torn strips with his hand at the tear — Gračanica paints the rending, the verdict, not the question
ffae81c9ac4b	2	The accuser	holds	a man in red between the seat and the prisoner with his arm thrown out toward Christ
ffae81c9ac4b	3	Christ	holds	standing, haloed, head bowed, wrapped in the mantle with no hands showing
ffae81c9ac4b	4	The soldier holding him	holds	helmeted, in tunic and cape with a sword at his side, his hand at Christ's arm
ffae81c9ac4b	5	The elders	holds	a group of pale-robed men behind the guard at the right edge
ffae81c9ac4b	6	The cock below the trial	fixed-2026-09-21	right, and now says what is there: the cock stands on the crown of the arch with lettering either side of it on the black ground
e17a9e65d38f	1	The inscription	holds	ΥΠΕCΤΡΕΨΕ ΤΑ ΤΡΙΑΚΟΝΤΑ ΑΡΓΥΡΙΑ read across the top
e17a9e65d38f	2	Judas at the priests' table	holds	red mantle over a teal tunic, bent over the table with his hand down among the coins
e17a9e65d38f	3	The silver on the cloth	fixed-2026-09-21	no cloth — a bare yellow table-top, and beside the coins an open written scroll, a reed pen and a black inkwell that no text mentioned. Label changed to 'The silver on the table'
e17a9e65d38f	4	The priests	holds	the crowned one seated at the end of the table and a second seated beyond him, neither rising, a press of heads behind
e17a9e65d38f	5	Judas hanged	fixed-2026-09-21	right, and the fresco letters his name ΙȢΔΑС beside his head, and dresses him in the same red mantle as at the table — neither was said
e17a9e65d38f	6	The temple between	fixed-2026-09-21	the buildings are not identified as the temple by anything in the picture: a pink enclosure wall and a green red-roofed building with its door open, and a small figure in a red hood leaning over the parapet to watch
30c3b64eb461	1	The tree	holds	one tree with a spreading crown and nothing else growing in the field
30c3b64eb461	2	The rope	holds	the cord runs from the branch down behind the head to the neck; the face is fully painted, thrown back, mouth open
30c3b64eb461	3	The empty rocks	holds	pale rock in steps, no building and no other figure
30c3b64eb461	4	The open hands	fixed-2026-09-21	only the right hand is legible, open and half curled; the left is lost in the folds, so 'the hands' was one hand too many
30c3b64eb461	5	The feet off the ground	fixed-2026-09-21	no feet are in the photograph at all — the wall curves away below the hem. Label changed to 'Where the picture ends'
6023be53979c	1	The inscription	fixed-2026-09-21	the fresco writes ΑΠΟΝΗΨΙС with an eta, not ΑΠΟΝΙΨΙΣ, and the ΙΣ ΧΣ is in the sky above the halo, not beside it
6023be53979c	2	Pilate on the judgment seat	holds	crowned, on a raised seat, both hands out over the basin
6023be53979c	3	The water poured	holds	and the same soldier in lamellar armour holds the basin under his hands; the water is a thin painted arc
6023be53979c	4	Christ	holds	cruciform halo, head bowed, both hands held loose before him, unbound
6023be53979c	5	The woman behind the seat	fixed-2026-09-21	the head is uncovered and the hair bound up — Orthodox painting veils its women, so the figure cannot simply be called Pilate's wife; the marker now says what is there and why readers take it for her
6023be53979c	6	The chief priests	holds	a press of bearded elders from the right, the front one with his hand raised
86b7eea99230	1	Christ	fixed-2026-09-21	'hands crossed in front of him' cannot be seen on this darkened panel; one hand comes forward at the waist. The point that stands is that nothing binds him
86b7eea99230	2	The guards behind him	fixed-2026-09-21	three helmets, and spear shafts above them, which the text left out
86b7eea99230	3	Pilate on the judgment seat	holds	crowned, seated on the wooden throne in a gold-banded robe, arm out toward the accused
86b7eea99230	4	The counsellors	fixed-2026-09-21	one white headcloth and one gold cap; the two in front are bare-headed, so 'turbans and caps' overstated it
86b7eea99230	5	The vessel for the washing	holds	a beardless servant behind the throne-back, bent forward, a dark oval vessel held at his chest
86b7eea99230	6	The steps of the tribunal	holds	a wide platform in flat red and pale bands under the seat
b0e12d12d7fc	1	Christ at the column	holds	stripped but for a white loincloth, bound at the pillar, head turned aside
b0e12d12d7fc	2	The bound hands	fixed-2026-09-21	not 'at the front' — both arms go right round the pillar and the wrists are tied on the far side, a red cord across the wood
b0e12d12d7fc	3	The scourger at the left	holds	white tunic, arm up, the thongs in his fist and the lash curving away above him
b0e12d12d7fc	4	The scourger at the right	holds	mirrors him from the other side, arm up, lash in the air
b0e12d12d7fc	5	The column	fixed-2026-09-21	right, and the board carries a red Slavonic title nobody had read: the surviving half is …СТОЛПА, 'at the pillar'
b0e12d12d7fc	6	The wall	fixed-2026-09-21	not crenellated — a flat wall with a band of painted triangles and a stepped cornice; no door, which was the point and stands
43f2ef551358	1	Christ on the cross	holds	the long curve of the body along the wood, head fallen toward his Mother
43f2ef551358	2	The name above the cross	holds	ΙС ΧС in red on the upper limb, read at full crop
43f2ef551358	3	The angels above the arms	holds	two small winged figures flying in from either side above the arms, hands wrapped in their mantles
43f2ef551358	4	The Theotokos	fixed-2026-09-21	her hand is not at her face: the right hand is held open toward her Son and the left is at her breast
43f2ef551358	5	The beloved disciple	holds	opposite her in a pale olive himation, hand to his cheek
43f2ef551358	6	The saints in the border	holds	busts round all four sides, and a crowned man and a crowned woman side by side along the foot
128a31eb8b95	1	Christ on the cross	holds	arms wide along the bar, head sunk toward his right
128a31eb8b95	2	The title	fixed-2026-09-21	the board is there but nearly effaced — four letters divided by points, the Greek ΙΝΒΙ; the marker implied it was legible
128a31eb8b95	3	The Theotokos and the women	fixed-2026-09-21	she is the MIDDLE of three and is being held up under the arms; the woman nearest the cross is another, in blue. Her maphorion is rose, not red
128a31eb8b95	4	John	holds	opposite the Mother, hand to his face
128a31eb8b95	5	The centurion	fixed-2026-09-21	right, and he is HALOED — the marker never said so, and it is the thing that makes him St Longinus rather than a soldier
128a31eb8b95	6	The skull in the rock	fixed-2026-09-21	a black cave with a skull AND two long crossed bones, not a skull alone
128a31eb8b95	7	The walls of Jerusalem	holds	a battlemented brick wall across the whole ground behind the cross
9c423d932526	1	Christ on the cross	holds	the long sagging curve, arms out along the bar
9c423d932526	2	The King of Glory	holds	Ο ΒΑCΙΛΥC left of the body and ΤΗC ΔΟΞΗC right of it, read at full crop
9c423d932526	3	The archangels	holds	ΜΙΧΑΗΛ lettered at the top left and Ο ΓΑΒΡΙΗΛ at the top right, both flying in, the right one's hand under his mantle
9c423d932526	4	The Theotokos	fixed-2026-09-21	her hand is not at her breast: one fist is at her chin and the other hand is open toward the cross, and her face is turned up to him. Gold star on the shoulder
9c423d932526	5	John the Theologian	holds	opposite her, head bowed, hand to his face
9c423d932526	6	The stars in the ground	holds	red stars scattered thickly over the gold either side of the body
9c423d932526	7	The worn surface	fixed-2026-09-21	'carried in procession on a pole' is not established anywhere in the record; what the museum does say is three layers of paint, the earliest ninth-century — the cross, the body and the two angels. Marker now says that
4b7a825dcd83	1	The Mother's face against her Son's	holds	she has his head in her lap and her cheek against his
4b7a825dcd83	2	John over the hand	holds	exactly — bent double, the Lord's hand in both of his, pressed to his cheek
4b7a825dcd83	3	The body on the cloth	holds	stretched the width of the picture on a white cloth woven with gold crosses; the wound is visible on the hand
4b7a825dcd83	4	Joseph of Arimathea at the feet	holds	grey-bearded, stooping over the feet at the right
4b7a825dcd83	5	The jar of myrrh	holds	a cylindrical vessel standing at the bottom left edge
4b7a825dcd83	6	The hill and the sky	fixed-2026-09-21	the hill is pale ochre, not green — the green is the ground band along the bottom; and it is not bare: the abbreviated holy names are painted on it beside the haloes
516477fdd7e0	1	The empty cross	holds	the cross stands behind the group with the title board still nailed to it and Χ͞С lettered beside it
516477fdd7e0	2	The Theotokos	holds	cheek pressed to his face, his head in her arms at the left end of the slab
516477fdd7e0	3	The body on the stone	holds	the slab is red, the body wrapped from the waist in white
516477fdd7e0	4	The woman with her arms thrown up	fixed-2026-09-21	the mantle is salmon-orange over dark blue-green, not red, and her hair has fallen loose — worth having, since it is what marks her out
516477fdd7e0	5	John	holds	bent over the body at its side
516477fdd7e0	6	Nicodemus with the ladder	fixed-2026-09-21	he is not bringing it down — it leans against his shoulder while he holds a rung and props his cheek on the other hand
516477fdd7e0	7	The nails and the myrrh	fixed-2026-09-21	right, and the painter's signature runs along the same band and nobody had read it: ΧΕΙΡ ΕΜΜΑΝȢΗΛ … ΛΑΜΠΑΡΔȢ
e40bae1d0d4c	1	The Theotokos	fixed-2026-09-21	the two haloes are there, set inside one another, but both faces are rubbed away — the marker described features that no longer exist on the panel
e40bae1d0d4c	2	Christ laid out	fixed-2026-09-21	'wrapped from the waist, the wounds shown' cannot be read: the paint at the loins is rubbed to the ground. The body is bare, head left, feet right
e40bae1d0d4c	3	The empty cross with its title	holds	the cross stands behind with the small board still on it
e40bae1d0d4c	4	The disciple bending to the body	holds	a haloed figure in red bent over the body near the head
e40bae1d0d4c	5	Joseph of Arimathea	fixed-2026-09-21	he holds the Lord's legs with both hands, one at each ankle — not the shroud
e40bae1d0d4c	6	Nicodemus with the ladder	fixed-2026-09-21	the ladder is a rail with rungs held up behind his shoulder, and his face has darkened past reading
e40bae1d0d4c	7	The women behind	holds	a rank of haloed women behind the Mother
86649de5aa5c	1	The stone across the door	fixed-2026-09-21	right, and it is a blue slab ruled into panels that fills the cave mouth
86649de5aa5c	2	The seal being set	fixed-2026-09-21	one hand, not both: his right hand is flat on the slab with a small dark seal in it and his left is raised. The headgear is a domed cap, not a turban
86649de5aa5c	3	The guard at the left	fixed-2026-09-21	'a patterned robe' is ribbed scale armour — he has a spear in his hand and a red shield at his feet, which is what makes him the watch
86649de5aa5c	4	The soldier with the spear	fixed-2026-09-21	the spear is held upright past his shoulder, not across his knees, and his shield lies on the ground in front of him
86649de5aa5c	5	The second elder	holds	a white-bearded man in dark blue standing between them, watching
86649de5aa5c	6	The women watching	fixed-2026-09-21	FIVE haloed figures, not four, and the first is a grey-bearded man — they are not all women. Slavonic lettering above them
86649de5aa5c	7	The title	fixed-2026-09-21	now quotes it: ГРОБЪ ГОСПОДЕНЬ, read at full crop
a26a6cc7fc74	1	The helmets	fixed-2026-09-21	six helmeted heads, not four — five faces still legible, all with the eyes shut
a26a6cc7fc74	2	The scale armour	holds	scale painted over the whole group, scale by scale
a26a6cc7fc74	3	The shields	fixed-2026-09-21	the shields are large OVALS painted with radiating stripes, not round shields with bosses
a26a6cc7fc74	4	The spear	fixed-2026-09-21	the claim was right and the marker was in the wrong place — the open hand with the shaft across it is at 42%/61%, not 85%/55%. Moved and relabelled
a26a6cc7fc74	5	The edge of the tomb above	fixed-2026-09-21	the photograph shows only pink-red folds and a corner of white along the top; the sarcophagus base and the white angel are not in it. The fact about what is painted above at Mileševa is kept, as a fact about the church rather than about this frame
1bb3cddc1741	1	Christ in judgment	fixed-2026-09-21	the loss is real and the apostles with open books are there, but the Theotokos and the Forerunner cannot be identified in what survives and their raised hands are not visible; marker now says a standing figure survives either side of the loss. Ranks of winged angels behind the benches added
1bb3cddc1741	2	The river of fire	fixed-2026-09-21	it cannot run 'from under the throne' — the throne is the part that is destroyed; it runs from under the place where the throne was
1bb3cddc1741	3	The enemy in the fire	holds	confirmed at full crop, and sharpened: a black mass crowded with small heads, a pale-robed soul on his knees, a gold arc behind both
1bb3cddc1741	4	The ranks of the saved	holds	the whole left half in orderly rows
1bb3cddc1741	5	The cells of punishment	fixed-2026-09-21	right, and now says what they look like: dark blue squares packed with pale faces, red squares with figures in flame, each with a red Greek line over it
1bb3cddc1741	6	The written bands	fixed-2026-09-21	the bands are there but the words cannot be read at any available resolution — the marker asserted the text. It now says what is visible and what such bands carry
62def5aec815	1	The Theotokos and the Child	holds	centre of the panel, enthroned with the Child on her lap, the tree growing round her
62def5aec815	2	Jesse asleep at the root	fixed-2026-09-21	right, and the painter signed the ground beside him — ΧΕΙΡ ΒΙΚΤΩΡΟΣ · ΑΧΟΔ ·, the hand of Victor, 1674 in Greek numerals — which nobody had read
62def5aec815	3	The kings crowned above	holds	crowned figures in the upper branches
62def5aec815	4	The prophets with scrolls	fixed-2026-09-21	the scrolls do not carry prophecies: each carries a NAME from Matthew's list — ΑΒΡΑΑΜ, ΡΟΒΟΑΜ, ΑΒΙΑ were read at full crop. 'The words by which he foretold the Child' was the standard Tree of Jesse read onto a panel that does something else
97ae5ddb1d89	1	The star and its ray	holds	a pale disc at the top left with one long ray running down behind the house
97ae5ddb1d89	2	The inscription	fixed-2026-09-21	not a band: four lines standing in the gold, and abbreviated — MAGI MUNERA OFFERUT DNO IESU XPO. The marker had silently expanded it
97ae5ddb1d89	3	The three gifts	fixed-2026-09-21	counted three at full crop, and they are vessels shaped like jewelled crowns, which is worth saying
97ae5ddb1d89	4	The Magi themselves	fixed-2026-09-21	'the dress of foreigners' is not what is painted — tunics and cloaks, and only the eldest has his head covered, in a white wrap
97ae5ddb1d89	5	The Theotokos enthroned	holds	seated, the Child on her knee over a white cloth, her hand at his back
97ae5ddb1d89	6	The Child reaching out	fixed-2026-09-21	the hand is open with the fingers spread, reaching — it is not the sign of blessing the marker claimed
ffe73c2bdb6a	1	The Theotokos on the ass	holds	riding with the Child, the ass moving right toward the town
ffe73c2bdb6a	2	The Child held in her arms	holds	carried in front of her, doing nothing
ffe73c2bdb6a	3	Joseph going ahead on foot	fixed-2026-09-21	he carries no bundle — he leads the ass by the rein, grey-bearded and barefoot; the bundle is on the youth's staff
ffe73c2bdb6a	4	The young man with the staff	fixed-2026-09-21	he is at the TAIL of the beast, not at its head — the ass faces the town and he strides along behind it
ffe73c2bdb6a	5	The walled city of Egypt	fixed-2026-09-21	right, and a crowned figure steps out of the open door with a bundle and something gilt — the personified city, and no text had mentioned it
ce97ce9df2bc	1	Herod in the portico	fixed-2026-09-21	no crown on him and no enthroned king anywhere in the panel — two bearded men under the colonnade and a written placard on the column. The marker asserted a seated king it could not show
ce97ce9df2bc	2	The soldiers with drawn swords	holds	the middle of the panel is swords up and children taken
ce97ce9df2bc	3	The mothers	holds	they fill the lower half, holding and pleading
ce97ce9df2bc	4	The angels carrying the children up	holds	blue-robed angels on a cloud at the upper right with small naked children in their arms
ce97ce9df2bc	5	The slain at the foot of the icon	holds	bodies laid along the bottom edge
0357a9bcae79	1	Ο ΩΝ in the arms of the halo	holds	the three letters read in the cross arms
0357a9bcae79	2	The monogram ΙΣ ΧΣ	holds	ΙС at the top left, Χ͞С at the top centre
0357a9bcae79	3	The open book	holds	checked letter by letter: ΔΕΥΤΕ ΠΡΟС ΜΕ ΠΑΝΤΕС ΟΙ ΚΟΠΙΩΝΤΕС ΚΑΙ ΠΕΦΟΡΤΙСΜΕΝΟΙ ΚΑΓΩ ΑΝΑΠΑΥСΩ ΥΜΑС, ΑΡΑΤΕ ΤΟΝ ΖΥΓΟΝ ΜΕ… ΜΑΘΕΤΕ ΑΠ ΕΜΟΥ — Matthew 11:28–29, as the marker said
0357a9bcae79	4	The hand raised in blessing	holds	two fingers extended, thumb to the ring finger, at full crop
0357a9bcae79	5	The Forerunner	fixed-2026-09-21	right, and the fresco letters him Ο ΠΡΟΔΡΟΜΟΣ, which was not said; 'burnt by the sun' dropped as a reading of the skin tone rather than an observation
0357a9bcae79	6	His hand stretched toward Christ	fixed-2026-09-21	the Deesis claim is now anchored in the picture: the scroll in his other hand opens ΔΕΞΑΙ ΔΕΗΣΙΝ, receive the petition. No text had mentioned that he holds a scroll at all
d4064896388c	1	Christ in the Jordan	holds	standing in the dark water, which rises round him like a grave
d4064896388c	2	St John the Forerunner	fixed-2026-09-21	the marker hedged — 'the axe OFTEN lies at the root of a tree'. It is in this panel, at the root of the small tree below him, and now the marker says so
d4064896388c	3	The angels with veiled hands	fixed-2026-09-21	four angels, two behind two, and the cloths they carry are what covers their hands — both details were missing
d4064896388c	4	The ray from heaven	fixed-2026-09-21	the ray ends in a small pale DOVE under a scalloped segment of heaven, and the marker had left out the Spirit in a marker about the Trinity
1c6df2ef1f9b	1	The tempter's words	fixed-2026-09-21	right, and now quotes the mosaic as it is lettered: SI FILI DI ES DIC VT LAPIDES ISTI PANE FIA
1c6df2ef1f9b	2	Christ's answer	fixed-2026-09-21	the reply begins SCRIPTUM EST, which is the marker's own point about reading Scripture to the devil, and he holds a closed scroll while he says it — neither was in the text
1c6df2ef1f9b	3	The stones on the ground	holds	loose stones lie between them in the middle of the field
1c6df2ef1f9b	4	The devil as a winged figure	holds	dark, thin, black-winged with white outlines, hands out toward Christ
1c6df2ef1f9b	5	The wilderness	holds	bare rock across the bottom of the field
c4d2c9bb6006	1	Christ sending	fixed-2026-09-21	right, and now carries what the tier-b decision of 2026-09-20d rests on: the Greek line across the top is about an appearing (ΕΜΦΑΝΙCΑС … ΤΟΙС ΥΠ ΑΥΤ ΓΕΝΟΜΕΝΟΙС), not the words of Matthew 28
c4d2c9bb6006	2	The apostles on his right	fixed-2026-09-21	'indistinguishable in glory' is contradicted by the panel — four distinct faces, a red book and a white scroll among them
c4d2c9bb6006	3	The apostles on his left	fixed-2026-09-21	'turned outward, already leaving the frame' is false: every apostle on both sides faces inward toward Christ
